commit	val_bpb	memory_gb	status	description
baseline	1.387866	5.6	keep	baseline (NorMuon+Nesterov, PoPE, SwiGLU, depth=4, n_embd=256)
4f58ead	1.386971	5.6	keep	Polar Express coefficients (optimal per-step NS iteration)
63b60c2	1.380859	5.6	keep	cautious weight decay (only decay when grad*param >= 0)
d55f544	1.477928	7.1	discard	wider model n_embd=384 (too few steps 474 vs 749)
8765e56	1.385014	5.8	discard	squared ReLU MLP (SwiGLU quality wins despite fewer steps)
834a839	1.390294	5.7	discard	parallel attn+MLP PaLM-style (sequential norm helps quality)
8fca280	1.379205	5.6	keep	all global attention (LLLL vs SSSL)
1d17915	1.396109	5.6	discard	momentum ramp 0.85->0.95 over 300 steps
2348b02	3.264483	5.6	discard	weight tying wte=lm_head (init scale mismatch)
a707acc	1.391176	5.6	discard	no warmup (warmup_ratio=0.0)
b76808b	1.401035	3.6	discard	halve batch size 2^13 (noisier gradients hurt)
124fd66	1.477180	6.9	discard	HEAD_DIM=64 4 heads (smaller pope_dim hurts PoPE)
aeaa749	1.391655	6.5	discard	z-loss auxiliary (redundant with softcap)
3a50d5c	1.398845	5.7	discard	VE on all layers (extra overhead no quality gain)
60b2f0d	1.397270	5.6	discard	matrix LR 0.06 (too aggressive)
b32b956	1.383376	5.6	discard	embedding LR 0.6 + warmdown 0.75 combined
347c394	1.379683	5.6	discard	warmdown 0.75 (0.67 is optimal)
f6dc38b	1.383954	5.6	discard	warmdown 0.50 (too short cooldown)
8e3038e	1.387275	5.6	discard	sandwich norm (extra norms cost throughput)
